"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1860664505891786762","Sun Nov 24 12:39:22 +0000 2024","10","Presiden Prabowo pastikan infrastruktur gedung lembaga legislatif dan yudikatif di IKN rampung pada 2028. Ini langkah strategis menuju Indonesia yang lebih terorganisir dan maju! 🇮🇩 #IKN2028 #InfrastrukturIndonesia #PrabowoMembangun #PembangunanIKN https://t.co/KrnQdYsyHo","1860664505891786762","https://pbs.twimg.com/media/GdJogJoaAAAHZ5A.jpg","","in","Nusantara","0","14","7","https://x.com/NusantaraMonit/status/1860664505891786762","2696616150","NusantaraMonit"
"1860477762596909096","Sun Nov 24 00:17:19 +0000 2024","0","Cuma satu yg gua seneng ibukota pindah ke IKN. Setidaknya yg begini berkurang.","1860477762596909096","","","in","Jakarta Selatan, DKI Jakarta","0","0","0","https://x.com/haqi11official/status/1860477762596909096","71774503","haqi11official"
"1860877249832169726","Mon Nov 25 02:44:44 +0000 2024","0","Prabowo fokuskan bangun IKN jadi pusat pemerintah politik. #IbuKotaNusantara #IKN #SukseskanPembangunanIKN https://t.co/dYKhFE4lHg","1860877249832169726","https://pbs.twimg.com/media/GdMp-8YaUAAqogJ.jpg","","in","Karanganyar, Indonesia","0","0","0","https://x.com/ZelinePatricia/status/1860877249832169726","1451771202255478793","ZelinePatricia"
"1860932207923323357","Mon Nov 25 06:23:07 +0000 2024","0","jadi kabarnya si ikn itu gimana deh sekarang?? si mulyono ni buang buang duit aja fakk","1860932207923323357","","","in","Kota Batam, Kepulauan Riau","0","0","0","https://x.com/yuwxocantik/status/1860932207923323357","1173098051784699904","yuwxocantik"
"1860269657313411298","Sat Nov 23 10:30:23 +0000 2024","2","Makan tuh IKN","1860269657313411298","","","in","","0","0","0","https://x.com/Lunaticmos/status/1860269657313411298","1581303954046357505","Lunaticmos"
"1860217439151358063","Sat Nov 23 07:02:53 +0000 2024","0","Kann udh dibilang seluruh dunia udh ngomongin environmental ethicslah ini indo malah bikin ikn kocak https://t.co/0nThAdt7XV","1860217439151358063","https://pbs.twimg.com/media/GdDR3vNWMAAPpvh.jpg","","in","","0","0","0","https://x.com/BayuSugara61/status/1860217439151358063","1248650713711828992","BayuSugara61"
"1860558968600301962","Sun Nov 24 05:40:00 +0000 2024","1901","'Mulyono IKN dan PIK' https://t.co/Bw0MypfGSQ","1860558968600301962","","","in","Indonesia","28","145","1065","https://x.com/democrazymedia/status/1860558968600301962","1243804423001763841","democrazymedia"
"1860153197354189168","Sat Nov 23 02:47:36 +0000 2024","10","3 Juni 2024: Di Forum ekonomi Qatar: IKN akan dibangun dalam 25-30 tahun. Rakyat berharap itu ️ artinya batal. Kok malah begini 21 November 2024: Prabowo Sebut Pemerintah Terpaksa Pindahkan Ibu Kota Negara #RevolusiBasmiOligarki #RevolusiBasmiOligarki https://t.co/tLQWMo8H1w","1860153197354189168","https://pbs.twimg.com/media/GdCXeB9agAAhDNC.jpg","","in","","0","0","8","https://x.com/Zay34562/status/1860153197354189168","1541060230083006470","Zay34562"
"1860487778351611908","Sun Nov 24 00:57:07 +0000 2024","0","Presiden Prabowo pastikan pembangunan IKN akan ramah lingkungan #IKN https://t.co/pZ8O0ggs3t","1860487778351611908","https://pbs.twimg.com/media/GdHHxTTawAAp7wr.png","","in","","0","0","0","https://x.com/ezmei18/status/1860487778351611908","1090945928","ezmei18"
"1860265985108033781","Sat Nov 23 10:15:47 +0000 2024","0","INI DIA GAPURA IKN","1860265985108033781","","","in"," 🧸🌿","0","0","0","https://x.com/hyunjaecakung/status/1860265985108033781","1680216878525071365","hyunjaecakung"
"1860241250626208103","Sat Nov 23 08:37:30 +0000 2024","1","gue ketika di ikn","1860241250626208103","","","in","sarawak, malaysia","0","0","0","https://x.com/demarconyol/status/1860241250626208103","945959387759181825","demarconyol"
"1860331692613075267","Sat Nov 23 14:36:53 +0000 2024","0","#FYP #fyp #ABA ANIES #ANIES BASWEDAN #aba anies #anies baswedan #JAWA TIMUR #SURABAYA #jawa timur #surabaya #KOTA SURABAYA #kota surabaya #TRAVELING #traveling #TOUR #tour #PERUBAHAN #perubahan #IKM #ikn #DKI JAKARTA #dki jakarta #PP #PPI #pp #ppi #Partai perubahan indonesia https://t.co/I4xPZNENdo","1860331692613075267","https://pbs.twimg.com/ext_tw_video_thumb/1860331628494749697/pu/img/fGRhvoWxePBtU75M.jpg","","in","Kota Surabaya, Jawa Timur","0","0","0","https://x.com/bazergan21/status/1860331692613075267","823584884","bazergan21"
"1859907016426434887","Fri Nov 22 10:29:22 +0000 2024","1","4 Fakta Kereta Tanpa Rel IKN Dikembalikan ke China https://t.co/jIRtcTq916","1859907016426434887","","","in","","0","0","0","https://x.com/UmmiYusniar/status/1859907016426434887","1626070342132445185","UmmiYusniar"
"1860298108338602100","Sat Nov 23 12:23:26 +0000 2024","2290","logikamu lho mbut. penjahat HAM yg naik jadi presiden noh LAKI. nepobaby yg jadi wapres noh LAKI. bapaknya nepobaby dg mainan IKN nya noh LAKI. utekmu mbok dinggo bajingan","1860298108338602100","","","in","Canada","8","6","560","https://x.com/cucunyasoekiman/status/1860298108338602100","744705457214754816","cucunyasoekiman"
"1860151455531040861","Sat Nov 23 02:40:41 +0000 2024","0","Unfoll sosmed ikn jg gak rugi guys. Gak pernah ada update-an kan? mending unfoll aja yg megang jg pasti si dm dm itu.","1860151455531040861","","","in","she/her","0","0","0","https://x.com/redobviate/status/1860151455531040861","1198640728324227073","redobviate"
"1860148668978069963","Sat Nov 23 02:29:37 +0000 2024","1","Pak @prabowo apakah ini keadilan utk rakyat? Di IKN bangga dengan air bersih langsung minum dari kran sementara rakyat sekitarnya kehilangan akses air bersih.. https://t.co/98iGXtDAex","1860148668978069963","https://pbs.twimg.com/media/GdCTW0ta4AAP5TM.jpg","","in","Jakarta, Indonesia","0","0","0","https://x.com/ivanazhar1/status/1860148668978069963","112669310","ivanazhar1"
"1860691566391673282","Sun Nov 24 14:26:54 +0000 2024","0","Mimi nayo ikn ikifika ni politics. But nasikia mnasema Omtata nko na nyinyi","1860691566391673282","","","in","Nairobi, Kenya","0","0","0","https://x.com/crack_viewer/status/1860691566391673282","1455178112090710018","crack_viewer"
"1860369811408322794","Sat Nov 23 17:08:21 +0000 2024","0","ntu pajak dinaikin gegara uang negara hbis buat ikn ","1860369811408322794","","","in","","0","0","0","https://x.com/Cookychocopai/status/1860369811408322794","1516589897435717632","Cookychocopai"
