,after_detokenized
180,dihunt diem cokk gara ikn sama tambang anjir
181,longsor dan terbelah dua jalan poros menuju ikn tak bisa dilintasi kendaraan berat
182,setelah ditawarkan ke berbagai pihak krn tidak laku akhirnya proyek ikn diobral dg tawaran hgb thn sepertinya akan diikuti dg obral asset di jakarta siapa yg akan ambil untung silakan simak analisis tsb pada channel youtube manusia merdeka
183,ada bung karno dan bung hatta di ikn ini taman kusuma bangsa yang dibangun sebagai bentuk penghormatan atas perjuangan panjang para pahlawan kemerdekaan bukan hanya memorial park taman ini juga difungsikan sebagai ruang publik dan monumen selain monumen
184,penduduk ikn dibatasi juta jiwa kepala otorita sebut agar warganya bahagia bisnis update bisnis text
185,txtfromir soalnya istana gibran di ikn aokwoakowokwokwo
186,ikn mangkrak eh tapi sekarang juga mangkrak deng hehe
187,petani ditangkap pj bupati ppu minta warga lokal tidak ganggu proyek ikn tempometro
188,ikn tuh begini doang apa gmn si kok ga kyk ibukota malah kek the breeze bsd
189,petani penolak proyek ikn yang ditangkap dibotaki polda kaltim tata tertib tempometro
190,bpk presiden yth pernyataab bhw ikn sdh ovesubscribed artinya bpk sdg proses jual asset negara apa saja yg bpk akan jual berapa harga yg bpk tawarkan siapa saja calon pembelinya apa dasar hukum dan kewenangan utk penjualan tsb
191,pratikno juga diduga mempengaruhi mk untuk loloskan gibran nyawapres walaupun belum memenuhi syarat konstitusi jokowigibranmemalukan jokowigibranmemalukan
192,tom lembong tantang pemerintah buka satu per satu investasi ikn bahlil nggak boleh saya bongkar tempobisnis
193,sebetulnya orang kurang waras mana yang menyuntikkan ide pembangunan ikn di tengah segala keterpurukan badai kesulitan hutang menggunung pandemi tanpa akhir banjir naiknya bbm rupiah terpuruk dan herannya juta orang kicep diam bengong melongo semua jadi patung
194,luhut sebut biaya pemilu sangat besar sehingga perlu ditunda kok ikn yang telan rp t jalan terus
195,jokowi batal pindah kantor ke ikn bulan ini terkendala infrastruktur belum siap temponasional
196,zay jokowi itu darah pengkhianat jokowidodopengkhianat jokowidodopengkhianat
197,belum kapok juga pak jokowi apa belum cukup kegagalan memalukan luhut menggandeng tesla dan kasus pengucilan nikel indonesia
198,otorita ikn ultimatum warga pemaluan segera robohkan rumah karena masuk kawasan inti ikn tempometro
199,yusufdumdum waduhgara ikn ya mull
200,ikn lagi
201,babilah temen nongki di bppku berkurang aftha ke ikn smpe agustus lukman ke pare bulan shbt smpku pd gabalik anjg
202,pagi yang cerah di ibu kota nusantara dari atas perbukitan ini terlihat jelas suasana pembangunan ibu kota nusantara bangunan yang sudah berdiri dan infrastruktur kota yang sedang dikebut bersama beberapa menteri dan kepala otorita ikn di hari kedua kunjungan ke ikn ini
203,luhut memastikan ceo softbank masayoshi son akan dicoret dari dewan pengarah pembangunan ibu kota negara ikn ini artinya kaidanren jepang chamber of commerce akan kompak menyerukan tidak akan ada yg ikut investasi di ikn
204,jokowi tawarkan hunian ikn ke warga singapura analis politik ada juta warga indonesia yang belum punya rumah
205,akhirnya sampe juga di ikn
206,tetua dayak dan kutai aku mohon dengan sangat ilmunya dikeluarin pas dia nyampe ikn
207,jika ikn mangkrak kereta whoos terancam bangkrut negara nyaris tidak bisa bayar utang siapa yang harus bertanggungjawab dan masuk jeruji besi
208,sayakanikanhehe lckystrikz itbfess interupsi ari halim fitb yang dimaksud kota setara jakarta itu fasilitasnya ri bukan skala ekonominya contoh transum kesehatan pendidikan untuk membangun itu jelas biaya akan lebih murahsebanding tapi merata daripada ikn karena tidak membangun dari
209,katanya ekonomi baik baik saja makanya bisa bangun kereta cepat dan mau bangun ikn tapi menjaga harga bbm subsidi murah tidak mampu pemerintahnya pura pura kaya buzzerpnya pura pura bahagia itulah negeri wakanda
210,tanyarlfes bingung yaaaa mau bayar utangnya mulyono modalin makan siang gratis modain ikn sama bayar tunjangan pejabat pake apa iyakan ampe segininya rakyat ditodong
211,barusan denger di rriprograma orang otorita ikn bilang anggaran tinggal t mengeluh investasi asing belum pada masuk trus katanya mereka jd kebingungan mau membangun kurang duit oia banyak para pekerja kasar memilih pulkam bayaran ngga jelas ini lucu jokowi
212,dukung ikn nusantara
213,jokowi akui belum ada investor asing masuk ikn
214,bahlil tak mau buka data investor ikn ekonom justru memunculkan kecurigaan tempobisnis
215,sayakanikanhehe lckystrikz itbfess kalo pendanaan ikn pake investor tentu membangun ikn dan peningkatan kota bisa berjalan dengan paralel ri tapi realitanya investasi di ikn adalah hal yang risky dari segi roi karena membangun kota dari sedikit investor yang mau memulai ikn ini cont
216,breaking ceo softbank berencana investasi di ikn sebesar milliar dollar tapi ngibul yang benar
217,tolak ahok mentahmentah koalisi pemuda ikn harus dipimpin putra daerah
218,lebar bgt kaya ikn
219,yg bilang investor ikn sudah masuk ke ikn gibrantweet dijawab kemarin oleh fakta amp kebijakan langit akhirnya jarum amp wing group keluar dari konsorsium investor ikn ha ha ha
220,susul softbank dua konsorsium dikabarkan ikut mundur berinvestasi di ikn nusantara
221,dukung ikn nusantara
222,wansrosadi tempodotco brune juga paling cekikikan mulu ngliat ikn
223,seluruh masyarakat indonesia yang saya cintai pemindahan ibu kota negara ke nusantara bukan sekadar memindahkan asn dan membangun gedunggedung pemerintahan pemindahan ikn adalah lompatan untuk melakukan transformasi bangsa menuju indonesia maju
224,hksa pmyry pendusays saeeds fkhattak aina ahmadbobak agn bint fatt ghz ikn injilachili wa alaikum aasalam be shak
225,dukun pendukung jokowi acara kemah di ikn hampir gagal garagara anies berkhianat
226,dukung ikn nusantara
227,belum ada investor asing masuk ikn presiden jokowi dulu sebut ada ratusan investor yang antre temponasional
228,hadirilah launching resto mulyono di ikn
229,dukung ikn nusantara
230,kalau nanti yg lain pindah ke ikn saya akan tetep di jakarta biar nanti dapat psn
231,sayakanikanhehe lckystrikz itbfess oleh karena itu pemerintah mau tidak mau mendanai seluruh project ikn yang tidak profitable untuk menarik investasi swasta masalahnya disini ri project yang tidak profitable ini jumlahnya besar dan mahal pun berkaca dari mesir dan negara lain yg buat ibukota dari cont
232,ardisatriawan pemerintah lg panik krn hutangnya udah bnyak yg jatuh tempo bahkan overdue alias nunggak buat bayar ga ada uang mt reschedule hutang sambil nunggu meras rkyat dulu ingat ya kami rkyat ga prnh mt dibangunkan ikn jalan tol bandara kami cm mt sandang pangan pendidikan murah
233,paperthinplanz sayakanikanhehe lckystrikz itbfess memang benar investor sudah mulai masuk tapi apakah itu mengubah fakta bahwa kucuran dana apbn tetap fantastis dan meningkatkan kota bukanlah hal yang lebih sulit dari membangun ikn mengingat kota ini adalah kota sedangbesar pembangunan sudah terjadi tapi perlu cont
234,gubernur ridwan kamil mengkritisi pengembangan ibu kota negara ikn di kalimantan timur
235,sayakanikanhehe lckystrikz itbfess ikn menjadi simbol indonesiasentris menurutku pembangunan ikn bukan indonesia sentris melainkan iknsentris karena ratusan triliun hanya untuk satu titik bandingkan dengan membangun kota yang kota yang mana kotanya adalah diluar jawa mana yang lebih indonesiasentris
236,kalau anak abah lihat video ini komentarnya pasti ikn mangkrak
237,kangmanto jokowi sebut hgu ikn sampai tahun untuk tarik investasi sebesarbesarnya
238,di geladak kapal menuju pelabuhan di penajam paser utara untuk meninjau kawasan ikn siang ini dalam perjalanan selama satu jam tadi kapal melintas di bawah jembatan pulau balang yang menghubungkan balikpapan dan ikn perjalanan ini juga menyusuri jalur logistik untuk ikn
239,oke gas oke gas tanbah dua torang gas lamgsung tiba owo sama geebran keluar dr layar tv video tron pecah efek ai langsung joget di latar belakang ai generated ikn sambil bawa susu dan makan siang gratis nasi sama ikan teri
240,idextratime ikn nyedot banyak duit sampai kita harus nombokin ambisinya
241,dihunt nangis mending kamu ke ikn nanti isinya orkay semua kann
242,gubernur jawa barat ridwan kamil menyampaikan kritik pedas untuk beberapa proyek yang dijalankan pemerintah
243,gambar hanyalah pemanis tidak ada hubungannya dengan isi artikel ini ciri pengguna narkoba dilihat dari kondisi fisik jokowigibranmemalukan jokowigibranmemalukan
244,di ikn
245,btw ikn apa kabarnya yg terakhir gw tau temen gw risen dari proyek salah satu gedung di sana karena kerjakerjasakit jantung
246,dukung ikn nusantara
247,dalam kurun tahun ppn naik semua demi proyek mercusuar ikn dan makan siang gratis serta menghidupi pejabat yang nyiksa rakyatnya tolakppnpersen
248,ikn apa kabar ya dulu kan di gong in skrg ga ada kabar lagi
249,sptnya kekurangan uang pemerintah sudah akut ppn ditolak banyak org pemerintah bergeming cuek tak peduli ini sangat ironi dg uang yg dihamburkan di ikn kereta cepat china bansos waktu pilpres ujungnga rakyat yg dibebani sedang pemerintah malas mikir cari cara lain
250,cakewenis tanyarlfes kan buat bayar utang sama ikn kan bikinnya pake uang
251,orang ini juga dapat diduga sbg penggagas ikn
252,solomenfess lahan mangkrak ikn jal
253,dukung ikn nusantara
254,kalo penghasilan bulanan lu kayak gini gue malah nggak rela lu cuma bayar pajak dan pada ngeributin ikn cukup sudah hasil sda daerah larinya ke oknumoknum penebar fearmonger begini
255,ardiesuhardi polisi beringas brutal terutama setelah kkn ke china parcoksemakinberingas parcoksemakinberingas
256,bu ketua kan tanya ke floor paripurna dpr jadi apakah ruu ikn ini dapat kita sahkan lalu ada anggota dpr yg ingin bicara interupsi kok malah langsung diketok kan tadi ditanyakeun
257,keren banget foto ini to anak cikupa bisa jadi ky artis ikn gini
258,menteri pupr basuki lebih mahal benahi jakarta ketimbang bangun ikn
259,dulu pengen sih di magetan aja soalnya masih asri ada rumah jg tp kakakku being realistic dengan bilang ikn loh dah mau jadi mending di samarinda ntar pasti maju juga banyak lowongan ya iya juga si enakan di samarinda gajinya juga
260,bambangmulyonoo rossesblack isu t itu pembohongan publik sebagaimana kebohongan dengan isu mobil esemka investor ikn angka kemiskinan dan pengangguran turun tajam daya beli masyarakat naik anakanaknya tidak berpolitik semua bohong jokowi pembohong
261,melanggar sumpah jabatan penyalahgunaan apbn an hak prerogatif rongrong apbn untuk ikn seolah ada ratusan investor uu imun bagi pengelola rp triliun dana corona karbit umur anak dg mk tanpa upgrade otaknya tanpa malu minta periode dan cawe pilpres demi anak
262,kemane aje lu dari dulu pas orang pada protes soal ikn kereta cepat makan siang gratis sama yg paling recent soal ppn gada dampaknya anjing bedebah
263,bangunan belum jadi dikasih ornamen lampu led biar tampak hidup padahal isinya hantu buat kloter pertama per tanggal januari para buzzerrp cebokers mulyono siap menghuni ikn wowo dan fufufafa kapan pindah istana blokkk
264,idextratime bang ayolah bang gabung timnas kita bang entar kita kasih alphard rempahrempah biji jarak batu bara kebun sawit susu gratis rumah di ikn
265,alisyarief si pencipta tol laut si pelopor kereta cepat si inisiator ikn si tukang hutang si pembeban pajak
266,kpk harus berani dan tegas periksa jokowi tentang penyaluran dan salah gunakan apbn untuk ikn
267,warga teluk naga terus diprovokasi said didu agar menentang pembangunan psn pik sepertinya said didu dkk memang tdk ingin ada pembangunan di negeri ini lihat saja temannya itu saat pemerintah membangun ikn teman said didu itu malah menghina warga kalimantan tangkapsaiddidu
268,dukung ikn nusantara
269,dukung ikn nusantara
270,zay jadi jokowi bikin ikn itu untuk siapa hgu buat investor itu generasi gak akan memiliki ikn itu semua gerak gerik jokowi patut dicurigai siagasatunegeritergadai siagasatunegeritergadai daruratkedaulatanpik
271,ofvoice kangdede hasil karya soekarno yg monumental gbk monas istiqlal hasil karya mega jembatan suromadu hasil karya sby situs candi hambalang hasil kerja jokowi yg waouh trans sumatera trans kalimantan trans sulawesi trans papua trans jawa ikn dn bberapa bendungan dn bandara dsb
272,morphomenelausx moonahoshinova jangan mau moon dia orang ikn
273,jadi waktu ikut dukung uu cipta kerja uu kpk atau ikn tanpa partisipasi rakyat pdip ikut suara siapa
274,fraksi pks menolak rancangan undangundang yang mengatur pemindahan ibu kota negara ikn dari jakarta ke penajam paser kalimantan timur tempobisnis
275,tiba bgt asbun proyek ikn
276,tak mungkin kepala bappenas sampai tak tahu bhw sebagian lahan ibu kota negara ikn baru ternyata merupakan wilayah konsesi tambang sebab pasti uu ikn itu ud digodok bertahun ud didialogkan dgn rakyat dan ud melalui naskah akademik patut diduga berita ini hoax
277,dude kalo pemerintah emg mau memperata pembangunam ikn worst case scenarionya
278,dahlia yati dari suku paser balik penduduk asli tempat calon berdirinya ikn mengaku kaget lahan rumahnya tibatiba sudah dipasang patok lahan rencana pembangunan ibu kota baru tersebut temponasional
279,ikn aja masih semrawut blm kelar ono si kerempeng bolak balik jakarta solo emang ngurusin apa lagi sih dia katanya mau jadi rakyat biasa kok malah sok sibuk buzzer ikn konen dong
280,ikn lagi salah apa kalimantan sama kalian selama ini juga jawa sudah terlalu enak menikmati pembangunan giliran daerah kalian teriakteriak waktu bbm masih jomplang harganya antara jawa dengan daerah pelosok orang daerah nggak cengeng kayak kalian
281,tauapasysoal jauhi bandung dan jogja juga pls jakartans better ngisi ikn aja
282,eh penonton ushijima bukan arsitek anjay dia bukan yg design gedung ikn pls dia site engineer literally anak sipil jgn salahin dia kalau gedungnya jelek plssss
283,tomhelby dedy seandainya proyek egois ikn itu ditunda sampai kemampuannya ada tahun dibohongi dan sekarang dapat sekuelnya
284,banyusadewa siasia da dianterin pulang ke solo pakai ongkos dari rakyat datang ke jakarta mulu sono ke ikn aja lihat peninggalan loe
285,ikn terus dibangun tahun prabowo siap berkantor
286,ekonomi sedang sulit pemerintah terpaksa naikkan harga solar amp pertalite tapi bangun ikn dan kereta cepat tapi bangan jalan raya di tengah hutan tapi bangun bandara yg tdk berguna tapi beri suntikan modal ratusan trilyun ke bumm oh ternyata hanya rakyat yg boleh sulit
287,prabowo hentikan anggaran ikn rocky gerung bukti beban apbn kian berat
288,makan gratis program bagus ribu gorengan ae cuma dapat dijoga atau tahu bakso di kantin perpusat ugm ribu cm bisa x parkir ikn long term seberapa banyak individu umum yang hidup karena ikn program jangka panjang itu transumum tiap daerah koneksi antr wilayah
289,sepuluh tuntutan rakyat sepultura batalkan kenaikan ppn batalkan psn batalkan ikn miskinkan koruptor potong gaji pejabat batalkan pensiun anggota dpr perbaikan ekonomi perampingan kabinet kebijakan pro rakyat penjarakan jokowi
290,gw aja orang wita tapi tetep ga setuju ikn dikebut gilaan tanpa mikirin dari mana duitnya
291,pada akhirnya kenaikan pajak ini cuma buat muasin nafsu pemerintah doang biar gak dianggap gagal malu dong kalo maksi gratis gajadi malu dong kalo ikn mangkrak biarin aja rakyat makin sengsara yg penting harga diri
292,ntar dibawa wewe gombel hiii serem gibran diusir ke ikn senjata makan tuan di balik ikn dr tifa pernah beberkan ancaman ini
293,dibangun di atas lahan seluas m dengan luas bangunan m masjid negara ikn dirancang sebagai pusat kegiatan sosial dan spiritual yang inklusif fasilitas tambahan termasuk parkir untuk bus kendaraan difabel dan area vvip pemerintahan presiden prabowo subianto
294,imajinasi kebencian yang dituangkan dengan perantara kuas cat dan kanvas buat saya ini bukan lagi tentang keindahan seni tetapi tentang kejijikan dari sang pelukis terhadap ahhh semua yg liat lukisan pasti tau siapa latar belakang istana negara ikn sudah menjadi
295,tnyhr banyak polisi gak peduli hukum mereka santai bercerita ke keluarga mereka sehari dapet berapa dari malakin masyarakat parcoksemakinberingas parcoksemakinberingas
296,msaiddidu woiiisaid didu rakyat ikn mana yg kamu dukungtidak ada yg kamu bela dan hanya kepentingan kamu saja didukamu hanya cari muka sajacari perhatian salam dari kalimantan timur
297,ardaffaf stop pembangunan ikn dan kcic lepas itu dia pake dua kata kerja yang berbeda loh kayanya reading comprehensive pemahaman bacaan kamu agak kurang ya
298,unilubis ikn lagi dipakai taylor swift mbak
299,tnyhr hgu itu sama dengan generasi artinya selama itu ikn itu bukan milik anak cucu kita jokowi wanted juli anekdot fasilitas ikn dengan hgu tahun bisa sampai ke generasi berapa apirevolusihanguskanjokowi
300,masyarakat sekitar proyek ibu kota negara nusantara ikn seperti di sepaku penajam paser utara kalimantan timur mulai merasakan banjir berulang seperti terjadi akhir november lalu rumah panggung pun kemasukan air hingga warga terpaksa mengungsi
301,kalo pupr wajar sih jeblok budgetnya itu dulu budget tinggi buat ikn dll tapi sisanya
302,tapti amnaalam trq fk abaxi mneoz qenpro ghz onlybunn triq aeeee fbi ask lemcb ruer ozautr frhn hksa shmi scw dbqp bint ozlerntr trqmz odriseva znt ikn s afd ia itl jazak allah khair
303,tidak ada alasan untuk tidak menjadikan ikn sebagai destinasi yang patut dikunjungi dalam periode libur natal dan tahun baru ekonomi adadikompas
304,kaixavtuber srikndimuslim dia ditawari milyar kalau mau izinkan reklamasi alhamdulillah dia menolak dia pemimpin berintegritas aguan mau keluar miliar rupanya sudah ngitung cuan triliun wkwkwk pribumi yang mau disuap penjajah itu hina jokowidodopengkhianat jokowidodopengkhianat
305,kpk harus tegas periksa mulyono terkait investasi ikn ibu kota negara
306,abuwaras semua yg ikut bermalam di ikn
307,felixsgl lha kn rk kurator ikn
308,peninjauan di jawa mulu ke ikn kapan
309,narasinewsroom prabowo yg paling parah belum bulan menjabat udah langsung naikin ppn demi program makan gratis yg nggak gratis bayar utang mulyono ke china amp pembangunan ikn
310,ardiesuhardi calon jenderal kkn ke cina untuk belajar ilmu bengis dari komunis cina polisi menjadi sangat beringas setelah calon jenderalnya kkn di shanghai cina pada tahun sep calon jenderal kuliah kerja nyata di china parcoksemakinberingas
311,pemerintah indonesia berencana memperkuat pertahanan udara di ibu kota nusantara ikn dengan menerapkan sistem pertahanan udara cerdas atau smart air defense system idntimeskaltim
312,tham ikn adalah masa depan indonesia
313,inget jangan salahin jokowi ya semua dikarenakanbiar pembangunan ga mangkrak katanya termasuk ikn jgn protes ppn semua sdh dihitung hitung bareng kemenkeuri dprri dan mulyono kalo saya tetep tolakppnpersen tolakkenaikanppnpersen tolakpajakmotor
314,bankindonesia update penggeledahan kpk dong itu firli dutch manado andy lahenda gedung pinang pk pondok indah jovinus calvin legawa ikn football field etc lagi perlu uang jajan cb cek transaksinya korupsibriberynya byk sok kenal dgn pemilik mobil brp almratna emiaty
315,pngadilnrkyt pak prabowo itu manusia bukan boneka jokowidodopengkhianat jokowidodopengkhianat
316,lucu main salahan pdhl keputusan parlemen itu suara terbanyak bukan cuma suara pdip skrg gerindra tinggal tolak simple kecuali gerindra emang butuh buat makan gratis dan ikn tapi jangan juga bikin susah rakyat dalam situasi ekonomi yang lagi sulit pdip bantah tudingan
317,papaloren bangeeetttt gantung skln di patung ikn
318,xquitavee dari nggedabrus buzzer memberi contoh pindah di ikn sambil ngebokep
319,nenkmonica dulu katanya banyak investor yang berminat di ikn dari singapura dari jepang kok tibatiba ngilang setelah pak jokowi lengser piye to ini investor kok tega bohongi rakyat indonesia
320,nggak pas covid turun perppu yg isinya soal pen dll termasuk rencana pph badan turun menjadi di th perppu tsb kemudian jadi uu pen sendiri isinya lbh banyak untuk pembayaran dan pmn bumn daripada untuk pengendalian covid lalu keukeh bangun ikn
321,tak punya ilmu tak punya adab dia cuma tahu para para jokowidodopengkhianat jokowidodopengkhianat
322,aku ga suka ikn tp berharap ikn berhasil sbg shock therapy kalau nkri ga cuma jawa lagian udah kepalang nanggung lanjutin ajalah
323,jalan menuju ikn amblas meter kendaraan berat tak bisa melintas bnetwork
324,yang jelas ga bakal ada program maksi sm ikn yg jelas ngabisin anggaran sih trs blm tentu bakal ada usulan pilkada dipilih dpr dg alasan ngabisin anggaran
325,stefanantonio smindrawatii pajak naik saya dukung tapi tolong tunda pembangunan ikn
326,harryccpatty jangan spt ikn ya bang harryccpatty
327,tauapasysoal jakartans jgn ke bali jogja bandung kalian ke ikn aja
328,apa yg diharap dari dia mewarisi kepemimpinan hny seumur jagung sdh menoreh byk luka bahasanya kotor byk kasus blm diproses eks napi yg sdh membelah kerukunan anak bgsa istana heran publik menolak ahok jadi kandidat kepala otoritas ikn
329,matanetizen byuw dennysiregar rieribet hasyimmah dennyjaworld izmayanti jhonsitorus urrangawak fiersabesari daripada kebingungan cari investor buat ikn kenapa gak yg rb t itu aja dicairin dari bank swiss
330,ya makanya stop ikn langsingin itu kabinet amp buang jabatan yg gak perlu tangkap para koruptor sita harta mereka utk kembalikan yg mereka curi ganti rugi ke negara masa hal kayak gitu aja harus rakyat yg ngasih solusi udah dikasih solusi pun hasilnya gini jahat banget
331,jokowi tidak perlu membanggakan ikn karena sudah pasti dibatalkan karena apbn pak prabowo bilang akan melanjutkan tapi dalam bahkan tahun jadi saya katakan seluruh ambisi jokowi tentang ikn akan dibatalkan oleh apbn jokowigibranmemalukan jokowigibranmemalukan
332,jokowi sebatang kara aguan buka kartu soal ikn sinyal kuat dari oligarki tinggalkan jokowi siagasatunegeritergadai siagasatunegeritergadai daruratkedaulatanpik
333,tubirfess padahal bu sm lagi pusing keliling gegara utang membengkak ditambah proyek ikn karya jokowow ga naikin pajak gatau duit darimane naikin kena hujat mangat yeu
334,kalo ikn apakabarnya
335,gue si taat pajak bayar kendaraan bermotor eh mau di pajakin lagi sekaligus trs gue yg ga pernah liburan krn uang paspasan mau rebahan sambil dengerin spotify segala di pajakin sekalian aja kencing di toilet umum di pajakin negara bu ya gara proyek ikn mandek
336,ajayharau marahichsan ada kemaren rame nongol nuntut giant sea wall apbn udh defisit pajak udh dinaikkin buat makan siang masih nuntut gsw yg biayanya setara ikn
337,karena ada ikn maka ada uu dkj daerah khusus jakarta kawal pembahasan ruu itu awalnya gubernur dkj dipilih presiden tidak disetujui dpr lalu berubah dipilih oleh dpr dan presiden ini berpotensi kronisme korupsi kolusi nepotisme mmd apirevolusihanguskanjokowi
338,aqordonut tauapasysoal kita orang balikpapan daerah penyangga ikn juga ogah terima orang jakarta yang tidak tahu adab sopan santun berkendara seperti klakson klakson di lampu merah naik ke trotoar lawan arus dll
339,gw paling susah njawabnya kalau wp udah pake kartu ini ya gimana ya faktanya memang penggunaan uang pajak banyak dikorupsi dan disalahgunakan lu liat aja ikn tuh sepi tak berpenghuni jadi obyek wisata aja
340,mending batalkan proyek besar ikn batalkan makan bergizi batalkan kementerian dikaji ulang jumlahnya terlalu gemuk dengan anggaran membesar pula jika ppn harus mengorbankan rakyat banyak tight money policy lebih baik diberlakukan moga rezim realistis
341,ghlm teampakpower mahrukh zubida saddu hani amalbutt zrani sahabg qashaf manzoor ikn abr g voiceofpak allah pak syria ki hifazat kre
342,jalanjalan
343,anggaran ikn udah triliun lebih pas nyadar kalo susah untuk mindahin ibu kota dan susah untuk mutasi ribuan asn ke sana ngomongnya malah ikn itu bukan mau saya tapi maunya rakyat yang ngebet siapa yang disalahin siapa udah lah rakyatnya miskin disalahin mulu lagi
344,dia bikin ikn dia jual ke cina ke amrik mesir malaysia singapura gak laku dia minta oligarki nyumbang di depan kurang cukup dia alokasikan apbn untuk ikn sementara rakyat butuh makan rg gantungjokowitangkapaguan gantungjokowitangkapaguan
345,ikn trq ia hmid scw afd s znt ghz odriseva trqmz ozlerntr tapti bint itl hksa shmi dbqp ruer ozautr doctor mneoz fk rnapti lemcb ask qenpro aeeee onlybunn triq frhn abaxi aina amalbutt fkhattak saddu misserana adnff qashaf iamsadi saimarash ma tu ulta has dyti hn
346,mending stop ikn aja sih jalan tol relatif cepat kasih return daripada pemekaran daerah disekitaran ikn butuh proses dan biaya yang ga sedikit secara bobot utilitas jalan tol lebih banyak kasih manfaat opini
347,hasilnya ppn naik wacana penghapusan pilkada ikn lanjut walau bikin banjir mulyono masih kuat kehilangan respect amerika eksploitasi ikan di natuna hasil mou cina pelanggaran ham ga tuntas penembakan sipil oleh aparat meningkat konflik papua belum kunjung padam
348,makan gratis shouldve been a long term plan ikn also shouldve been a long term plan masalahnya kepala ini tidak rela kalau ada projek yang diselesaikandilanjutkan oleh kepala yang berikutnya
349,asahpolapikir dan tanah di ikn
350,ternyata solusi jakarta yang bebas macet tuh bukan ikn tapi libur nataru
351,nenek moyang kita bangun brobudur prambanan bgtu megahnya tdk ngutang eh jmn skrng katanya pinter sudh bisa mengelola hasil kekayan alam bangun ikn saja ngutang gerindra prabowo coba dipikirkn pa
352,jarudin orang jujur dimanapun dipuji dan dipuja ini kita bicara orang yang tidak jujur ia suka berdusta buat mobil ghaib ijazah tak mau diperlihatkan ke publik ngaku ikn sudah banyak investor ternyata aguan mengaku diperintahkan jokowi bahkan diujung dioecat oleh partai yg
353,jokowi selalu mendatangi tempat keramaian jelas sekali mengalami postpower syndrome selalu ingin disambut banyak orang sejatinya dia kesepian padahal utk sekelas jokowi bisa mendatangi tempat wisata top dunia yg memiliki privasi tinggi setidaknya datang ke ikn
354,gajahgemblik mataharitmr gimana kalau istana di ikn dijadikan masjid dari pada gak dipakai
355,blisonny kalimantan butuh rel kreta itu aja dulu ini malah ikn blok
356,kurawa gak pernah ke daerah yaa coba cari menu gitu di sepasoe kaubun sangkulirang perangat kembangjanggut nunukan malianau sekatak melak muara telake ikn sampean mau tombokin sisa harganya gausah omon banyak lah
357,dennysiregar saya ada ide bagaimana kalo bikin pameran lukisan yg puja puji mirip jokowi bapak infrastructur amp bangun ikn dll kira dapat project apa setelah pameran
358,kompelkaesang lanjooooottt gantung mati jokowi karena telah melakukan makar jokowigibranmemalukan jokowigibranmemalukan
359,sambil nunggu arahan dari prabowo menteri rini widyantini bilang kalau kementerianlembaga baru masih sibuk ngisi jabatan dan cari pegawai mereka juga lagi nyusun namanama asn yang bakal dipindah ke ikn supaya pas prabowo kasih lampu hijau semuanya siap jalan
360,menteri pu dody hanggodo usulkan tambahan anggaran rp triliun untuk pembangunan ikn dan jalan daerah anggaran ini mendukung proyek strategis di
361,kementerian pu melelang proyek pembangunan gereja katolik basilika di ikn proyek senilai rp miliar ini ditargetkan selesai maret
362,babycecilians ardisatriawan jangan lupa selain ikn ada lagi beban baru makan bergizi gratis
363,lylideer jeongssaem masalahnya ppn naik ini program kampanye buat biayain maksi gratis dan ikn sekaligus
364,adrizizie selamat lah dari manusia ngibul ngibul esemka ngibul stop impor ngibul ribu t ngibul investor ikn wkwkwkwk
365,pesangon dipajakin cairin jamsostek dipajakin juga uang pajaknya buat bangun rumah menteri m per biji di ikn
366,para pemuja jokowi dimana kalian dulu maki kita yg ga setuju ikn dgn segala alasan demi raja jawa kalian byr hutangnya yaa jgn ngajak kami ok
367,aguan begitu banyakyg kagumampmengapresiasi beliau pengusaha lokal yg dianggap sebagai nasionalis sejati selebihnya peran aguan dalam proyek ikn di kaltim menekankan bahwa tanpa aguan proyek tersebut mungkin akan hadapi tantangan yg lebih besar good job pak tangkapsaiddidu
368,pak aguan merupakan pengusaha lokal yg mau membantu negara ampmasyarakat slama ini pak aguan jg menyelamatkan wajah indonesia di mata dunia dgn mnjdi investor besar di ikn dimana bnyk investor tdk mau berinvestasi di ikn salut untk loyalitas pak aguan u negara tangkapsaiddidu
369,audit ikn dan periksa mulyono
370,jembatan pulau balang simbol kemajuan infrastruktur ikn
371,bapak sugianto kusuma aguan adalah seorang pembela nkri sejati dalam senyapnya beliau mendukung keberlanjutan pembangunan ikn demi kepentingan bangsa dan negara ri amp menyelamatkan nama baik pemimpin negara ini di mata dunia tangkapsaiddidu
372,oooooh ternyata yang buat ikn itu swifties
373,stop bullying sekarang juga setiap orang berhak dihormati dan diperlakukan dengan baik polri poldakaltim divhumas ibukotanusantara coolingsystem kaltim ikn mahakam
374,kpk bkn hnya berfungsi penindakn tapi jg pencegahan korupsi temuan bpk dlm ihp semester ii tahun halaman proyek ikn ini bermslh dlm aspek kinerja dan keuangan juli bubarkanparcokbobrok bubarkanparcokbobrok fufufafamakzulkan
375,berawal dari mobil esemka dan berakhir dengan ikn
376,beneran raja halu pakai akal sehat apa untungnya inves di ikn
377,hbd ikn
378,anjir ikn wkwk
379,kok mingyu cosplay ikn juga
380,tahun setelah ikn jadi
