,after_detokenized
49,kata menteri yg lebih sibuk urus ikn daripada bangun perumahan rakyat
50,ekonomi indonesia sedang tidak baikbaik saja massive layout di web karyawan tokopedia dirumahkan mulai juni beban negara meningkat ditengah gejolak ekonomi karena pembangunan ikn perlu banyak dana untuk realisasi janjijanji politik semasa kampanye misal
51,makan mie ribuan tapi ngabisin triliunan apbn buat kcic dan ikn
52,jadi inget pameran lukisan kritik ikn di galnas tahun kemarin
53,apakah pantai sudah di jual ke aguan pik untuk bangun ikn semoga presiden prabowo mengaudit ikn sumber dana dari mana hanya era jokowi laut dipagar tak boleh dilalui nelayan ini jelas melanggar hukum dprri dprd jelas tau masalah ini kok tak satupun bersuara
54,kirain kita akan berubah ikn jadi milik mereka lagi
55,kami orang madura tertarik tinggal di ikn
56,emang dari dulu yang mau buruburu pindah ke ikn siapa siapaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
57,momen seorang bercerita biaya hidup saat di ikn ternyata lebih mahal dibanding jakarta terlihat biaya kosannya mahal banget ttcemalcemilbogor
58,orangorang yang bela ikn ga ada efeknya pembangunan ikn dan satwa liar sekitarnya belom selesai dibangun aja air tempat pesut mahakam udah tercemari limbah tambang bukannya diperbaiki dan dicari solusi ditambah lagi kerusakannya dengan bangun ibu kota pada naif semua
59,wkwkw salut sama orang indonesia bisa tahan punya presiden nggak jelas kayak gini apa urgensi dan relevansinya coba bawabawa seleb ke ikn duit negara semua itu yang pasti kalau kata penjilat dari psi ampuuun pak wapres terpilih
60,happy birthday ikonik cibinong guehhhhhh arteaice semoga menjadi anak yang sholeh dan sholeha berkati kepada nkri dan bisa menjadi pejuang ikn sukses dimasa depan salam manis dari pragib oke ga oke gas ayo kita nyalakan lilin kuenya indonesiaemas
61,caaaaak kenapa mau bangun kota baru setara jakarta tapi ikn ga setuju kan sama aja butuh duit banyak
62,disember kunjungi reruai ikn sempena festival kraf johor fkj dan festival kota selatan fks hingga disember pagi hingga malam padang akasia angsana johor bahru mall institutkrafnegara jommasukikn taatsetia
63,cung yg pernah ke ikn dan mengerjakan salah satu proyeknya gak sespesial itu sebenernya cuma ya semangat deh ga bisa ngomong apaapa hahaha
64,om bule datang lagi nih part ii kondisi ikn terkini dari om bule lover sumber tiktokombulewnilovers
65,heh kerokan blewah lo ngerti arti kalimat ikn berpotensi gagal gak sih artinya bisa gagal bisa sukses gimana gue bisa kasih argumen berbasis fakta dan data kalau itu barang belum jadi dan berfungsi penuh hadeuh tapi baiklah gue akan coba mendefend asumsi gue
66,tau ngga ada bocil katrok pindah ke jakarta pindah ktp nya ke jakarta selatan lagi mau jadi anak jaksel woi bapaknya maksa anak orang pindah ikn anakanaknya maksain diri pindah jaksel saran kalo mau jadi anak jaksel ngga usah pake barangbarang branded kamse
67,saya bilang jokowi bajingan tolol saya akan ditangkap padahal saya benar jokowi jual ikn ke cina amrik kanada singapura gak laku bahlil disuruh berbohong bahwa ada ribuan investor omongan saya terbukti investor ikn rg bubarkanparcokbobrok
68,ada ga sih podcast internal pns yang membahas isuisu terkini negara dari sudut pandang pegawai negri contoh soal isu pdn ini atau gonjangganjing mau dipindah tugas ke ikn
69,kalo mau hemat itu bukan pemilu putaran tapi tolak ikn dan jakarta tetap ibukota negara
70,retardead marsupial ryan
71,investasi ikn nol besar
72,batalnya investasi softbank seharusnya membangunkan presiden jokowi yang tengah terbuai mimpi tentang ibu kota baru ini menunjukkan bahwa megaproyek ibu kota negara ikn tak menarik bagi investor yang rasional editorial korantempo
73,penampakan ikn
74,menit prabowo berpidato berapi tidak sekalipun dia menyebut ikn ada yg auto gundah gulana
75,kalau ujungujungnya potong sini potong sana dari pendapatan rakyat yg juga sudah terhimpit kebutuhan yang harganya terus naik kenapa sih masih terus ngotot bangun ikn
76,tapi di tiktok banyak postingan dan komen yang siap mendukung berita ini stanford di ikn ok gas
77,karya seni memang sulit didebat tergantung selera tapi boleh dong nanya garuda dlm ephos ramayana ada nama jatayu dan sempati dlm wisnu purana ada garuda wisnu kencana sebagai lambang negara ada garuda pancasila semua ada pakemnya garuda ikn ini pakemnya apa
78,tanyarl sender kepooo mau tau pandangan mahasiswa ttg ikn ini dong pls buzzr pltk dni
79,nah kan saya bilang apa waktu saya kasih opini ttg ikn kalian habishabisan serang saya tahu ngga yang menolak ikn itu jauh lebih cinta rakyat kalimantan daripada penjilat dan penghalu yg terpukau dg omongan nggedabrus si pembohong
80,baru kali ini punya kesempatan berbincang panjang dengan panglima jillah tentang hukum adat pelestarian budaya dayak dan ikn pandangannya tentang nkri sangat apa adanya tanpa embelembel politik maupun agama saya hanya fokus kepada pelestarian alam dan budaya tanpa
81,sudah tidak punya pendukung selain datang karena dibayari dan difasilitasi omonomon biaya angkut influencer ke ikn dibayar pakai uang pajak rakyat bukan ya kalau iya saya tidak ikhlas
82,nah kan polda kalimantan timur kaltim tengah menyelidiki dan melakukan profiling terkait unggahan seorang warga negara asing wna menjelaskan mengenai ibu kota nusantara ikn
83,di ikn ada mimpi tentang indonesia masa depan
84,sebenarnya saya yang nanya begini pak aguan sebagai pengusaha menguntungkan gak sih investasi di ikn lalu dijawab namanya juga perintah lalu dia ketawa kita kan harus jaga nama presiden gitu kru tempo penjaramenunggujokowi penjaramenunggujokowi
85,katanya ada kereta tanpa rel di ikn faktanya cuma bus dibikin gandeng biar kliatan panjang kyak kereta emang sik ga ada relnya tp ada bannya kan bangke
86,bumn satu ini lucu dan menggemaskan laporan keuangan ditolak idx gaji karyawan ga bisa ketutup utang di mana mana tapi abis menang proyek ikn t dapat dp malah uangnya ditilep sampe proyeknya mangkrak dan dilimpahkan ke hk
87,september saya akan berkantor di ikn mulai besok sampai akhir jabatan saya september ga jadi deh mau nonton bola emang tukang ngibul selalu ada aja alasannya
88,cak imin potong tumpeng di titik nol ikn nusantara
89,teman teman yang dari kaltim dan wilayah lain dari kalimantan apakah ada demo penolakan ikn seperti yang disebarkan oleh org org yang gak ingin kita orang kalimantan maju dan sejahtera setahu saya setelah majelis adat dayak nasional dan para sultan yg ada di kalimantan
90,presiden joko widodo jokowi secara resmi menyerahkan area seluas hektare di zona rimba kota b kawasan inti pusat pemerintahan kipp ibu kota nusantara ikn kepada universitas gadjah mada ugm area ini diberi nama hutan wanagama nusantara untuk dijadikan pusat
91,antara jokowi dan aguan keduanya hanya memainkan sandiwara saja triliun dari apbn mengalir ke bsd dan pik sudah viral dan kembali buat biayai ikn t licik permainan
92,calon presiden nomor urut anies baswedan lebih memilih membangun sekolah rusak hingga transportasi seperti kereta api atau jalur tol antar kota di pulau kalimantan dibandingkan ibu kota nusantara atau ikn tepatkah tempoheadliner anies
93,kenapa sih ke ikn aja harus ngumpulin influencer berangkat ya berangkat aja lah kalau emang itu urusan kerjaan kerjakerjakerja
