conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1.82946697816114E+018,Fri Aug 30 20:04:16 +0000 2024,0,@griselruiz88 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @rojeoz @susyrizky @pgc_indonesia Jokowi banyak alasan tunda IKN mungkin karena dia tau ini nggak akan berhasil.,1.82961111127839E+018,,griselruiz88,in, bandung,0,1,0,https://x.com/azharie27/status/1829611111278395734,1977953707,azharie27
1.82946053712342E+018,Fri Aug 30 20:03:57 +0000 2024,0,@GirlBieberJ @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @dekade_08 @WagimanDeep212_ @bengkeldodo Proyek mangkrak IKN ini nggak akan kemana-mana lebih baik fokus ke masalah lain.,1.82961103429614E+018,,GirlBieberJ,in, bandung,0,1,0,https://x.com/azharie27/status/1829611034296140262,1977953707,azharie27
1.82946674200086E+018,Fri Aug 30 20:03:49 +0000 2024,0,@griselruiz88 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @JhonSitorus_18 @mpoklela7 @LOVE_UM4M4 IKN lagi IKN lagi. Padahal yang penting itu pekerjaan buat rakyat.,1.82961100115274E+018,,griselruiz88,in, bandung,0,1,0,https://x.com/azharie27/status/1829611001152749954,1977953707,azharie27
1.82946449408045E+018,Fri Aug 30 20:03:41 +0000 2024,0,@gorunbiraz3 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @sigitbudic @SantorinisSun Udah lah Jokowi nggak usah alasan lagi soal IKN rakyat udah nggak peduli.,1.82961096415479E+018,,gorunbiraz3,in, bandung,0,1,0,https://x.com/azharie27/status/1829610964154793985,1977953707,azharie27
1.82946024836683E+018,Fri Aug 30 20:03:33 +0000 2024,0,@GirlBieberJ @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @herricahyadi @prabowogibran2 Jokowi tunda IKN? Mendingan fokus aja ke hal-hal yang lebih penting buat rakyat.,1.8296109306465E+018,,GirlBieberJ,in, bandung,0,1,0,https://x.com/azharie27/status/1829610930646507620,1977953707,azharie27
1.82946637969268E+018,Fri Aug 30 20:03:25 +0000 2024,0,@griselruiz88 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @ImamWM @BANGSAygSUJUD @Chavesz08 Proyek IKN ini udah jelas Cuma buang-buang waktu dan uang.,1.82961089923116E+018,,griselruiz88,in, bandung,0,1,0,https://x.com/azharie27/status/1829610899231162516,1977953707,azharie27
1.82946420750043E+018,Fri Aug 30 20:03:16 +0000 2024,0,@gorunbiraz3 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @AtiqahFahrina @ebe_ganzo @Ghurem2 IKN? Bikin rakyat makin nggak percaya sama janji-janji pemerintah.,1.82961086123499E+018,,gorunbiraz3,in, bandung,0,1,0,https://x.com/azharie27/status/1829610861234991481,1977953707,azharie27
1.82877843674957E+018,Fri Aug 30 20:02:58 +0000 2024,0,@gghhjjkk580dr0 @dekade_08 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @panjianom102 @MSMujab22 @BobbyTriadiSrg Udah bosen dengerin Jokowi alasan soal IKN lebih baik urus masalah rakyat dulu.,1.82961078730616E+018,,gghhjjkk580dr0,in, bandung,0,1,0,https://x.com/azharie27/status/1829610787306160335,1977953707,azharie27
1.82841219205375E+018,Fri Aug 30 20:02:45 +0000 2024,0,@1HandeDelisii @dekade_08 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @disseduh @_doncorleone78 @bayu_bepe IKN Cuma angan-angan siapa sih yang masih percaya proyek ini bakal selesai?,1.82961072951699E+018,,1HandeDelisii,in, bandung,0,1,0,https://x.com/azharie27/status/1829610729516990588,1977953707,azharie27
1.82946110836277E+018,Fri Aug 30 20:02:33 +0000 2024,0,@ggggggfrf3 @jokowi @prabowo @gibran_tweet @AboutIKN @bkpm @Gerindra @PDemokrat @AnakLolina2 @GUSDURians @Boediantar4 Masalah IKN nggak akan selesai mending Jokowi fokus ke ekonomi rakyat.,1.82961068070791E+018,,ggggggfrf3,in, bandung,0,1,0,https://x.com/azharie27/status/1829610680707911885,1977953707,azharie27
